Zodaic,Mars,Venus,Mercury,Moon,Sun,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Description
Ar,1,12,11,10,9,8,7,6,5,4,3,2,"General circumstances and temper of the people, their general health and vitality and sense of optimism or pessimism"
Ta,2,1,12,11,10,9,8,7,6,5,4,3,"Government Treasury, banking and currency conditions, business and trade activity, taxation and national income; all matters of money."
Gem,3,2,1,12,11,10,9,8,7,6,5,4,"Transportation and communications, including rails, telephone and telegraph, commercial radio, demand for stocks and bonds, trade volume, technical publications, financial and trade relations with adjacent countries, short distance travel."
Canc,4,3,2,1,12,11,10,9,8,7,6,5,"Real property, mining, crops, public works and buildings, weather, anti-administration faction in politics, exploration, socialization."
Leo,5,4,3,2,1,12,11,10,9,8,7,6,"Amusements and entertainment, including theatres and radio; phases of publishing, publicity and advertising; children and places where women and children congregate; the emotional aspects of mass psychology; domestic welfare of the nation; speculative activity and conditions."
Vir,6,5,4,3,2,1,12,11,10,9,8,7,"The state of public health. Army and Navy, condition of the masses —particularly labor, net financial results of fifth house affairs, foodstuffs, wearing apparel."
Lib,7,6,5,4,3,2,1,12,11,10,9,8,"International relations, including treaties; threat of war and overtures of peace; foreign trade; marriage and divorce, including civil suits opposed to popular opinions; opponents"
Sc,8,7,6,5,4,3,2,1,12,11,10,9,"Foreign finance, including effects of foreign exchange; financial results of treaties; the cabinet of the government; opposition to trade balances; national budget; flow of money; taxation; death rate."
Sag,9,8,7,6,5,4,3,2,1,12,11,10,"The courts; legal, religious, philosophical and scientific developments; foreign trade and shipping; long distance travel; foreign news; insurance; resources of labor and the masses."
Caapr,10,9,8,7,6,5,4,3,2,1,12,11,The president or ruler; mayor of a city; political activity of the party in power; vested authority; business activity and turnover; leaders.
Aq,11,10,9,8,7,6,5,4,3,2,1,12,The Senate; The House of Representatives; financial results of government policies; money volume of business activity; legislation affecting business and government activity; government obligations; utilities.
Pis,12,11,10,9,8,7,6,5,4,3,2,1,"All limitations, secrets, and moral obligations of government and business; the results of litigation; all public institutions such as reformatories, jails, hospitals and asylums; all speculative features involving eighth house affairs; all secret dealings involving the country."
